name,place,owner,content
クマ問題から生物多様性を考える,法文1号館(東),里山再生サークル「匠」,学術/講演会、発表
東京大学吹奏楽部五月祭大演奏会,安田講堂,吹奏楽部,音楽/楽器演奏
Limo-nà,医学部広場A11,シチリアレモネード愛好会,飲食/飲み物
ほたかさんの牛串,図書館通りC4,片平ゼミ,飲食/軽食
三河もちもち五平餅,西片門前B1,三河郷友会,飲食/お食事系
こだわりの牛串やさん,正赤通りE4,牛串同好会,飲食/軽食
わらび餅本舗,正赤通りE3,漢のスイーツ愛好会,飲食/スイーツ
米津玄師バンド,セントラルステージ,駒場キャンパス所属有志,音楽/バンド
BOILED五月祭ステージ,セントラルステージ,ストリートダンスサークルBOILED,パフォーマンス/ダンス
キャップ de ビンゴ,工学部3号館,キャップ投げサークル,エンタメ/工作、体験
みんな、牛肉食べようぜ,赤門通りB3,理科二・三類12組,飲食/軽食
Italyに至り　にゅ～,図書館広場6,理科二・三類6組,飲食/お食事系
サムギョプサル横丁,医学部広場A5,理科一類6組,飲食/お食事系
社基の牛串　土木な華金,工学部広場A8,工学部社会基盤学科学部4年,飲食/軽食
KILLER HOUSE,工学部8号館,お化け屋敷サークルInsomnia,エンタメ/展示
東大剣友会,農学部通りA5,剣友会,飲食/軽食
K'sワッフル,中央通りE1,K's CooKing,飲食/スイーツ
三代目　やきそば屋角力,中央通りE3,レスリング部,飲食/お食事系
焼きそばが冷めないうちに,工学部広場G7,理科一類32組,飲食/お食事系
魂のるフランクフルト破,伊藤門通りB4,理科一類28組,飲食/軽食
室内楽の会　五月祭演奏会,工学部11号館,室内楽の会,音楽/楽器演奏
東大娘。'26 五月祭公演,図書館前ステージ,東大娘。'26,パフォーマンス/ダンス
ごぶからあげ,工学部14号館前A6,護身武道空手部,飲食/お食事系
セローリのストラックアウト,工学部2号館前1,野球サークルセローリ,エンタメ/ゲーム、パズル
BAR落とし処,中央通りC3,法学部交渉ゼミ,飲食/酒類
＝GFとくべチュロス、して,銀杏並木D10,Group Flates,飲食/スイーツ
お笑いライブ「論より笑拠」,薬学部棟,お笑いサークル笑論法,パフォーマンス/ショー
ギョーザ〜食べ比べチャレンジ,医学部広場A10,医学系研究科公共健康医学専攻(SPH),飲食/お食事系
ちゅらけし,セントラルステージ,東京大学アイドル研究会,パフォーマンス/ショー
肉巻きおにぎり亭,農学部通りG3,理科一類34組,飲食/お食事系
応援部パレード・パフォーマンス,正門,応援部,パフォーマンス/ショー
RADWIMPS？,セントラルステージ,radファン,音楽/バンド
ミニミニボウリング！,工学部広場D1,ボウリング部,エンタメ/工作、体験
模擬雀荘,工学部3号館,麻雀サークル白,エンタメ/ゲーム、パズル
Ubiquitous Fruits,セントラルステージ,Ubiquitous Fruits,音楽/バンド
BBの焼きそば,工学部広場C1,BigBox's,飲食/お食事系
優上ケバブ,図書館通りA2,理科二・三類9組,飲食/お食事系
Re:結束バンド,セントラルステージ,軽音有志の会,音楽/バンド
とくべチュ♡ロス,工学部14号館前B3,文科三類11組,飲食/スイーツ
We are ARASHI Cover Stage,セントラルステージ,嵐 Tribute Band,音楽/バンド
ロ。-ロケットの運動について-,工学部5号館,UTAT,学術/体験
社会に役立つ化学をのぞこう,工学部5号館,工学部化学・生命系3学科,学術/体験
おきなわ屋,工学部広場C3,学生団体ALOHA,飲食/お食事系
焼きそばだけじゃダメですか？,中央通りD1,理科二・三類13組,飲食/お食事系
残灯ステラ　五月祭ライブ,セントラルステージ,幻想郷,音楽/バンド
東大白熱法学教室 〜ひもとく法律〜,ガラス棟,法科大学院出張教室,学術/体験
フワッフワッフル,図書館通りC3,理科一類10組,飲食/スイーツ
ぽんデたいむ,法文1号館(西),Tokyo base cap club,エンタメ/ゲーム、パズル
ブリトー征夷大将軍,赤門通りB1,ブリトー征夷大将軍,飲食/お食事系
最初はギュウ～、じゃんけんポン！,正赤通りD3,理科一類14組,飲食/軽食
ステージマジックショー,工学部2号館,奇術愛好会,パフォーマンス/ショー
モウ1杯！,中央通りD3,農経4年有志団体,飲食/お食事系
Jazz Junk Workshop On Stage,セントラルステージ,Jazz Junk Workshop,音楽/バンド
東大模型部五月祭展示会,理学部1号館,模型部,エンタメ/展示
射撃部のしゃてき,工学部2号館,射撃部,エンタメ/工作、体験
東大下暮らし～森林動物学の世界～,農学部1号館,フィールドサイエンス研究会,学術/展示
コンピュータを科学する,理学部1号館,理学部情報科学科,学術/展示
東京大学新聞社の新聞・書籍販売,正門横1,東京大学新聞社,エンタメ/展示
サク同クラ同合同演奏会,第二食堂,サクソフォン同好会/クラリネット同好会,音楽/楽器演奏
獣医外科のビール,農学部通りD8,獣医外科学研究室,飲食/酒類
鳥官僚,工学部広場D2,学生団体GEIL,飲食/軽食
脳破壊ポテト,工学部14号館前A4,バーキン研究会,飲食/軽食
呑んで応援！能登の味,農学部通りA6,FS能登町支援チーム,飲食/酒類
彼らが愛した美酒,工学部14号館前A5,一休,飲食/酒類
たろうのケバブ,工学部広場B8,文科三類7組,飲食/お食事系
東大おかやま愛好会×藤原しおり,セントラルステージ,おかやま愛好会,パフォーマンス/ショー
東大ファッションサークルの蚤の市,工学部6号館横5,ファッションサークル,エンタメ/工作、体験
スピカ映画上映会,工学部6号館,映画制作スピカ1895,エンタメ/展示
焼き小籠包〜生煎包〜,赤門通りA5,文科三類12組,飲食/お食事系
WISHステージ企画,三四郎坂,T.U.D.C WISH,パフォーマンス/ダンス
日本全国！名産品展 Ⅱ,農学部通りD6,東大生地方創生コンソーシアム,飲食/軽食
躰道部のバク宙たい焼き,正赤通りB1,躰道部,飲食/軽食
BeefReal.,工学部広場C2,理科一類38組,飲食/軽食
MUSIC,理学部スペース,教養学部全学自由研究ゼミナール　企画を創る～実践から学ぶ教養としてのアートマネジメント,音楽/楽器演奏
中高生のための進路相談会,ガラス棟,教育系団体の集い,学術/体験
高校研究への招待,工学部14号館,高等学校進学教育研究会,学術/展示
ボードゲームカフェWeeple,理学部1号館,ボドゲサークルWeeple,エンタメ/ゲーム、パズル
ムイビエーンチュロス2,銀杏並木C8,理科一類11組,飲食/スイーツ
東京大学バブルサッカークラブ,農学部グラウンド,バブルサッカークラブ,エンタメ/工作、体験
牛乳料理会の極上クリーミー麺,銀杏並木A5,牛乳料理会,飲食/お食事系
ヤキソバ二郎　理一39組店,正赤通りC5,理科一類39組,飲食/お食事系
エルピのやきそば,農学部1号館前A4,エルピラータ,飲食/お食事系
Are you TOFU?,農学部通りC5,dp9,飲食/軽食
ラケットふるふるフランクフルト,正赤通りC2,スポーツ愛好会バドミントンパート,飲食/軽食
Guten揚げパン,農学部通りA4,理科二・三類17組,飲食/スイーツ
五月祭英語スピーチコンテスト,経済学研究科棟,E.S.S.スピーチセクション,エンタメ/講演会、発表
ゲーム試遊空間,工学部6号館,ゲーム制作サークルノンリニア,エンタメ/ゲーム、パズル
ラムとスパイス、ときどきワイン。,農学部通りG1,あぐり×アグリ,飲食/お食事系
フォイヤー五月祭特別演奏会,安田講堂,フォイヤーヴェルク管弦楽団,音楽/オーケストラ
秋山歌謡祭,セントラルステージ,ロバート秋山愛好会,音楽/バンド
赤門フランクフルト専門店,西片門前B4,水泳サークルCoconuts,飲食/軽食
aikoコピーバンド,セントラルステージ,五月祭有志バンド,音楽/バンド
4ToD Second Stage -Blue-,図書館前ステージ,4ToD,パフォーマンス/ダンス
琉球エイサー,工学部広場ステージ,沖縄県人会,パフォーマンス/ダンス
ラグマン屋台 シルクロード,農学部通りC2,「ラグマン屋台 シルクロード」実行委員会,飲食/お食事系
お茶で世界旅行,銀杏並木C1,凸祭突撃隊,飲食/飲み物
まとのさんちのクロックムッシュ　revival,赤門通りC4,理科二・三類21組,飲食/お食事系
牛牛のクシーレン,銀杏並木C3,TBA,飲食/軽食
ケバブメゾン本郷,工学部広場G5,文科一・二類27組,飲食/お食事系
弥生せんべろ酒場,三四郎坂B1,弥生料理組合,飲食/酒類
東方五月祭,工学部6号館,幻想郷,エンタメ/展示
鳥豪族,中央通りD2,理科一類20組有志,飲食/軽食
加油！赤門油そば,正赤通りE2,文科一・二類19組,飲食/お食事系
レスマの牛串,西片門前B2,レモンスマッシュ,飲食/軽食
東大スペランザ式シュート対決,農学部通りB8,Speranza FC,エンタメ/ゲーム、パズル
熱々ジューシー春巻き,正赤通りA6,鬼ネバリ研究会,飲食/お食事系
AnotherVision謎解き公演,工学部2号館,謎解き制作団体AnotherVision,エンタメ/ゲーム、パズル
データで見る中学生〜彼らの本音に迫る〜,教育学部棟,教育学部比較教育社会学コース,学術/講演会、発表
舞美茶館,法文1号館(西),装い喫茶研究会,飲食/飲み物
あなたのためのプログラミング,工学部6号館,ut.code();,エンタメ/ゲーム、パズル
United Nomimonos,伊藤門通りA7,模擬国連駒場研究会,飲食/飲み物
kurayamisakaコピー,セントラルステージ,kurayamisakaコピーバンド,音楽/バンド
ミャンマーの今を知る。,工学部3号館,MISタイミャンマー国境チーム,学術/講演会、発表
しぞ〜かおでん「食わざあ」,中央通りE2,情報学環教育部有志,飲食/軽食
たこ焼きMBTI,正赤通りA1,Needec,飲食/お食事系
牛串にもほどがある！,工学部広場B6,文科一・二類11組,飲食/軽食
東大ア式vs創価大サッカー部,御殿下グラウンド,ア式蹴球部,パフォーマンス/スポーツ、武道
たこ焼き中船,中央通りA7,航空宇宙工学専攻中須賀・船瀬・五十里研究室,飲食/お食事系
ダブルリード同好会五月祭演奏会,第二食堂,ダブルリード同好会,音楽/楽器演奏
ユーフォのアメリカンドッグ,銀杏並木D7,ユーフォリア,飲食/軽食
Frankfrank,工学部広場E5,理科二・三類18組,飲食/軽食
きもちの休憩所,法文1号館(西),nayamii,学術/体験
High Stick,銀杏並木A4,フロアボールクラブ,飲食/軽食
もつ鍋射楽,農学部通りE4,ゆみの会,飲食/お食事系
ずぼらに一休み！,法文2号館,ずぼらのメガネ,学術/展示
少林寺拳法部の黒帯牛串,医学部広場B8,少林寺拳法部,飲食/軽食
うまいんつ,医学部広場A3,ハンドボールサークルマインツ,飲食/お食事系
フランス発！塩キャラメルオレ,図書館通りB2,文科三類18組,飲食/飲み物
シミュレーション構築ラボ,工学部3号館,工学部システム創成学科SDMコース,学術/展示
よってくれーぷ、みてくれーぷ,農学部通りB4,理科一類37組,飲食/スイーツ
東大ちょこばな奈,銀杏並木A8,理科二・三類16組,飲食/スイーツ
こんなにアヒルすくエンテ,図書館通りB3,高度ドイツ語1期生,エンタメ/工作、体験
ユニバーサルスタジオTOKYO,正赤通りD7,文科一・二類13組,エンタメ/ゲーム、パズル
産地直送「漁師のアジフライ」,工学部広場B1,国際水産開発学研究室,飲食/軽食
テレビの大学2026 in 五月祭,理学部1号館,AGESTOCK2026実行委員会／テレビの大学2026実行委員会,エンタメ/講演会、発表
地球のみらいカフェ,法文1号館(西),SDGs協創学生アライアンス,飲食/スイーツ
東大牛串専門店,正赤通りA3,石川富山明倫学館,飲食/軽食
廃液カクテル,図書館広場9,理学系研究科化学専攻,飲食/酒類
爆揚げアイス ¡Muy bién!,工学部14号館前B6,文科一・二類8組,飲食/スイーツ
装い喫茶出張店,工学部14号館前B4,装い喫茶研究会,エンタメ/ゲーム、パズル
RADWIMPSコピーバンド,セントラルステージ,有志の会,音楽/バンド
シャシリク一列②,医学部広場B5,理科一類4・5組、理科二・三類4組,飲食/軽食
皇帝のおいしい戯言,正赤通りB3,文科三類16組,飲食/スイーツ
少林寺拳法部五月祭大演武会,七徳堂,少林寺拳法部,パフォーマンス/スポーツ、武道
馬路ゼミの馬串,中央通りC4,馬路ゼミ,飲食/軽食
タコス研究会研究成果発表会,農学部1号館前A1,タコス研究会,飲食/お食事系
巻いて巻いて巻いて参ります,正赤通りD8,理科一類12組,飲食/軽食
鹿肉ジビエ酒場~色川の里山から~,伊藤門通りB1,FS和歌山県那智勝浦町チーム,飲食/酒類
焼きそばクラフト亭,正赤通りE7,ダンボール同好会,飲食/お食事系
フェンシング部のブリュレクレープ,工学部14号館前B5,フェンシング部,飲食/スイーツ
探検部の浜焼き,中央通りF8,海洋調査探検部,飲食/軽食
団子シェーン,工学部広場E1,文科三類15組,飲食/スイーツ
Pop In Corn,農学部2号館前B3,文科三類8組,飲食/軽食
チートグ,農学部通りF1,理科二類5組,飲食/軽食
くっしーの牛串,伊藤門横丁4,理科二・三類23組,飲食/軽食
写真文化会 五月祭写真展,法文1号館(東),写真文化会,エンタメ/展示
Spectrum Bar,三四郎坂B5,理科一類37組有志,飲食/酒類
米と音楽,赤門通りC1,ストリートカルチャー同好会,飲食/お食事系
効用爆上げポテト！,医学部広場B3,学生経友会,飲食/軽食
牛すぎて串！,中央通りC6,アムレット,飲食/軽食
中華食堂,工学部広場F1,中国留学生学友会,飲食/お食事系
卓パの牛串,農学部通りA3,スポーツ愛好会卓球パート,飲食/軽食
ドイチュロス,西片門前A4,文科一・二類20組,飲食/スイーツ
Otama House,法文1号館(西),オタマトーン同好会,音楽/楽器演奏
ワタナベの明太フランス,正赤通りA2,院のなかまたち,飲食/軽食
Legg ランドスケープサークル,農学部1号館,Legg ランドスケープサークル,学術/展示
恋愛IQカフェ,教育学部棟,教育学部教育心理学コース,エンタメ/工作、体験
テコンドー演武,七徳堂,テコンドー部,パフォーマンス/スポーツ、武道
郵便配達夫,法文1号館,文学部人文学科哲学専修有志,エンタメ/工作、体験
POPSTAR スピカ,農学部2号館前A4,映画制作スピカ1895,飲食/軽食
海洋ごみからキーホルダーを作ろう,工学部3号館,MIS Fチーム,エンタメ/工作、体験
ロシア語選択合同誌即売会,ガラス棟,ロシア語選択者,エンタメ/展示
酒より団子,工学部広場G10,山岳愛好会雷鳥,飲食/軽食
澤田ゼミの焼きそば,図書館通りA5,澤田ゼミ,飲食/お食事系
鉄門排球楼,農学部2号館前A1,医学部鉄門バレーボール部,飲食/お食事系
オムニバス室内楽団 五月祭公演,第二食堂,オムニバス室内楽団,音楽/楽器演奏
運動会イチ公のお店,農学部通りB2,総務部,エンタメ/展示
AnotherVision物販,工学部2号館,謎解き制作団体AnotherVision,エンタメ/ゲーム、パズル
皆中パンケーキ,医学部広場A9,弓道同好会,飲食/スイーツ
島バナナ同好会,赤門通りB6,宮古島同好会イベント部,飲食/酒類
玉井ゼミ講演イベント,法文1号館(東),玉井ゼミ,学術/講演会、発表
ピカリ化学,ガラス棟,楊井研究室ピカリ化学,学術/展示
東大デュエマ頂上決戦ｉｎ本郷,ガラス棟,デュエマ同好会,エンタメ/ゲーム、パズル
31 Bananaskin Robbins,図書館広場8,理科一類31組,飲食/スイーツ
ゴルフ部のクレープ,工学部広場A6,ゴルフ部,飲食/スイーツ
とり薬局,農学部2号館前A2,薬学部,飲食/軽食
てぃらみす＠くれ～ぷ,西片門前B3,理科二・三類6組,飲食/スイーツ
ALLDCのトルネードポテト,西片門前B6,ALLDC,飲食/軽食
東大リコ同五月祭演奏会,弥生講堂,リコーダー同好会,音楽/楽器演奏
UGcafe,農学部通りC6,"UGBAS, ウガンダ野球を支援する会",飲食/飲み物
本格ガパオ堂,工学部広場B3,Thai Students' Association,飲食/お食事系
Opening,セントラルステージ,五月祭常任委員会,パフォーマンス/ショー
Finale,セントラルステージ,五月祭常任委員会,パフォーマンス/ショー
キャンパスツアー,理学部1号館,五月祭常任委員会,学術/体験
キャンパスラリー,正門,五月祭常任委員会,エンタメ/ゲーム、パズル
めい先生のまほう学校,理学部1号館,五月祭常任委員会,エンタメ/工作、体験
もこもこめいのわくわくパレード,銀杏並木,五月祭常任委員会,パフォーマンス/ショー
あなたの｢好き｣が芽吹くところ。,工学部3号館,五月祭常任委員会,エンタメ/展示
急がば回れのサイエンス,工学部8号館,五月祭常任委員会,学術/講演会、発表
見て、聞いて、感じる古代イタリア,工学部8号館,五月祭常任委員会,学術/講演会、発表
我々はなぜ「推す」のか,工学部8号館,五月祭常任委員会,学術/講演会、発表
恋愛を哲学しよう,工学部8号館,五月祭常任委員会,学術/講演会、発表
レゴ®︎ブロックで創る、アート人生,経済学研究科棟,五月祭常任委員会,エンタメ/講演会、発表
パニパニパニック,正赤通りE5,文科三類6組,飲食/軽食
Once More スモア,農学部通りA2,文科一・二類10組,飲食/スイーツ
東大飲茶 —トウダイヤムチャ—,伊藤門通りA6,文科一・二類17組,飲食/スイーツ
雪、揚げちゃいました,中央通りF1,文科一・二類11組,飲食/スイーツ
わらびが餅ベーション,工学部広場D5,文科一・二類14組,飲食/スイーツ
クレープをおくれーぷ,図書館通りB5,文科一・二類23組,飲食/スイーツ
Many 買ってナ,医学部広場A6,文科一・二類26組,飲食/スイーツ
東京大学胡麻団子愛好会,銀杏並木A2,文科一・二類18組,飲食/スイーツ
東大蛸戦,銀杏並木B2,文科一・二類25組,飲食/お食事系
華・ステラ,農学部通りA1,文科三類13組,飲食/スイーツ
東大だんご,赤門通りA3,文科一・二類28組,飲食/スイーツ
ホンゴウ茶会事件,正赤通りB4,文科三類17組,飲食/飲み物
ぷいぷいもるばうむ,中央通りC5,インタークラス,飲食/スイーツ
チョコっとバナナスタンド,農学部通りG8,文科一・二類15組,飲食/スイーツ
チ。ーチキンの名店についてー,正赤通りF2,文科一・二・三類5組,飲食/お食事系
Buono!Lemonade,農学部通りD4,文科一・二類6組,飲食/飲み物
超ワッフル♡宣伝部,正赤通りA5,文科一・二類19組,飲食/スイーツ
超くろわっさん！潰しすぎて滅！,工学部14号館前A2,文科一・二類13組,飲食/スイーツ
カレーなるフランクフルト,工学部広場B4,文科一・二類22組,飲食/軽食
赤門クレープ,工学部広場E7,文科一・二類7組,飲食/スイーツ
恋のChuChuチュロス,工学部横丁5,文科三類10組,飲食/スイーツ
アゲット,農学部通りB1,文科三類19組,飲食/軽食
グラシアス・レモネード,中央通りB4,文科三類9組,飲食/飲み物
Frankfrank,三四郎坂B4,文科一・二類21組,飲食/軽食
モアモアスモア 〜もっと欲しくなるマシュマロクッキーサンド〜,農学部2号館前B2,文科三類12組,飲食/スイーツ
くれくれクレープ-我巻く故にクレープあり,赤門通りC5,文科一・二類24組,飲食/スイーツ
バ7ブリュレ’27,赤門通りA6,文科一・二類27組,飲食/スイーツ
チュ。-東大のチュロスについて-,中央通りE4,文科三類7組,飲食/スイーツ
パッションで焼く！ベビーカステラ,中央通りC2,文科三類14組,飲食/スイーツ
喫茶・おるれ庵,工学部横丁6,文科三類18組,飲食/スイーツ
東餃大学,正赤通りD5,文科三類11組,飲食/お食事系
ブースト！ブースト！カリーブルスト！,正赤通りA4,文科三類16組,飲食/軽食
東茶　Dong_cha,図書館通りC5,文科一・二類12組,飲食/飲み物
揚げすぎて鯛！,医学部広場B9,文科一・二類16組,飲食/スイーツ
今日、肉で巻きました～おにぎり編～,図書館通りB4,文科三類8組,飲食/お食事系
フランスパン革命,図書館広場2,文科三類20組,飲食/軽食
Guten Wurst !,工学部横丁7,文科三類15組,飲食/軽食
チュロすぎて滅！,伊藤門横丁6,理科一類33組,飲食/スイーツ
イチョウドーナツ,正赤通りE6,理科一類30組,飲食/スイーツ
揚げアイスで気分アゲアゲ！,中央通りF6,理科一類11組,飲食/スイーツ
不可（フ）ランクフルト 単位より重い!,伊藤門通りA5,理科一類28組,飲食/軽食
どいちゅろす,銀杏並木A9,理科二・三類17組,飲食/スイーツ
胡麻より男子,中央通りA4,理科一類12組,飲食/スイーツ
伸びすぎて熱！絶品チーズボール,図書館通りA4,理科二・三類5組,飲食/スイーツ
モナ・ピザ,中央通りF4,理科一類37組,飲食/お食事系
東籠包,医学部広場B6,理科二・三類9組,飲食/お食事系
ヤバイケバブ屋さん,銀杏並木D4,理科二・三類12組,飲食/お食事系
単位餅こたえドリンク,図書館広場5,理科一類25組,飲食/飲み物
わんだっふる,赤門通りB5,理科二・三類23組,飲食/スイーツ
本郷アブラ学会,図書館通りC8,理科一類19組,飲食/お食事系
芋すぎて滅！,工学部広場G9,理科二・三類11組,飲食/軽食
鳥庶民,西片門前B5,理科一類20組,飲食/軽食
小籠包〜美味すぎて滅！〜,農学部1号館前B4,理科一類26組,飲食/お食事系
ケンタッキー・フライド・ピッツァ,正赤通りC3,理科二・三類6組,飲食/軽食
辛ラーメン♡からいーだけじゃだめですか？,中央通りD4,理科一類6組,飲食/お食事系
素数アイス,工学部14号館前B1,理科一類21組,飲食/スイーツ
ミルクフランス革命,農学部1号館前B1,理科一類34組,飲食/スイーツ
独語選択の本場フランクフルト,農学部通りG5,理科一類18組,飲食/軽食
カステラおばさんのベイビー,工学部広場E4,理科二・三類8組,飲食/スイーツ
爆裂焦がしてる,銀杏並木A1,理科二・三類22組,飲食/スイーツ
Patate Deliziose Otto,図書館広場3,理科一類8組,飲食/軽食
見揚げれば雪,農学部1号館前B3,理科一類17組,飲食/スイーツ
大タコ翔平,銀杏並木D2,理科二・三類18組,飲食/お食事系
「タコ」が焼けるとき。,三四郎坂A4,理科二・三類14組,飲食/お食事系
走れチュロス,正赤通りD4,理科一類39組,飲食/スイーツ
タコスぎて滅！,三四郎坂B3,理科一類9組,飲食/お食事系
Donuteria Sette,中央通りA1,理科一類7組,飲食/スイーツ
ワッフル革命,中央通りF2,理科二・三類24組,飲食/スイーツ
Monsieur's Kitchen,医学部広場A8,理科一類38組,飲食/お食事系
焼きたてホットサンド,伊藤門通りA8,理科二・三類15組,飲食/お食事系
オレ達のアゲ揚げ⤴︎⤴︎⤴︎オレオ,銀杏並木D5,理科一類36組,飲食/軽食
今日ビジュホットドッグじゃん,農学部通りD3,理科一類32組,飲食/お食事系
ば・く・ぽ・て　「爆ポテ愛してる」,銀杏並木A10,理科二・三類7組,飲食/軽食
ふらっとフランクフルト,銀杏並木C2,理科一類29組,飲食/軽食
¡Hola!タコス無双,医学部広場B7,理科一類15組,飲食/お食事系
好きすぎて列、に並んででも食べたいクロワッサン,工学部14号館前B2,理科二・三類20組,飲食/スイーツ
#春から糖大,銀杏並木B5,理科二・三類16組,飲食/スイーツ
東大レモネード,銀杏並木C10,理科一類23組,飲食/飲み物
ヴルスト、売るっすと,伊藤門横丁5,理科一類31組,飲食/軽食
パリ（Paris）っと唐揚げ,正門横2,理科二・三類21組,飲食/お食事系
じゃんけんクレープ,農学部1号館前A3,理科一類16組,飲食/スイーツ
ホット(HOT)けないサンド,赤門通りC2,理科一類10組,飲食/お食事系
韓流ワッフル,正赤通りC6,理科一類22組,飲食/スイーツ
りろしかふぇ　ピロシキ&ティー,工学部広場G2,理科一類4・5組、理科二・三類4組,飲食/軽食
冷菓 冰粉庵,図書館通りA3,理科一類27組,飲食/スイーツ
グーテン・たこせん,赤門通りC7,理科二・三類19組,飲食/お食事系
もふもふモッフル店,農学部1号館前B2,理科二・三類10組,飲食/スイーツ
シュレーディンガーのベビーカステラ,工学部14号館前A3,理科一類35組,飲食/スイーツ
24cmのチュロス,正門横4,理科一類24組,飲食/スイーツ
シャカすぎてポテ！,銀杏並木B8,理科一類13組,飲食/軽食
暖犬!,赤門通りB4,文科一・二類20組,飲食/軽食
ギョギョ餃子,工学部広場G1,理科一類14組,飲食/お食事系
ごますぎて滅！,医学部広場A7,理科二・三類13組,飲食/スイーツ
Holaの揚げベビーカステラだゾ,工学部広場G3,文科一・二類9組,飲食/スイーツ
私もゼフィール食べたこと無かったの,中央通りF3,文科一・二・三類4組,飲食/スイーツ
ヘビーカステラ,中央通りA2,文科一・二類8組,飲食/スイーツ
