name,place,owner,content
能狂言五月之座,工学部8号館,能狂言研究会,パフォーマンス/ショー
WINGS五月祭ステージ,図書館前ステージ,KPOPカバーダンスサークルWINGS,パフォーマンス/ダンス
東大水族館＆うな丼2026,農学部3号館,農学部応用生命科学課程水圏生物科学専修,エンタメ/展示
OLKの焼きそば,正赤通りF4,オリエンテーリングクラブ,飲食/お食事系
法律相談所　第78回模擬裁判,安田講堂,法律相談所,パフォーマンス/ショー
オージーBBQ,図書館通りA6,メルボルン交友会,飲食/お食事系
野球フランクフルト,医学部広場A2,野球部OB留年組,飲食/軽食
裏千家茶道同好会五月祭茶会,学生支援センター,裏千家茶道同好会,飲食/軽食
東大アメフト部五月祭試合,御殿下グラウンド,アメリカンフットボール部WARRIORS,パフォーマンス/スポーツ、武道
日本酒利き酒 2026,農学部2号館,農学部 生命化学・工学専修,飲食/酒類
東京大学仏教青年会五月祭講演会,経済学研究科棟,仏教青年会,学術/講演会、発表
子供食堂クレープOIKOS,農学部2号館前A3,OIKOS 東大,飲食/スイーツ
たい焼きピンキー,銀杏並木C7,ラクロス部男女,飲食/軽食
御殿下ダンスパフォーマンス,銀杏並木西,御殿下木曜ナイトフィーバー,パフォーマンス/ダンス
香る！小豆島オリーブキッチン,農学部1号館前B6,FS小豆島土庄町チーム,飲食/軽食
LiSA コピーバンド,セントラルステージ,LiSAコピーバンド,音楽/バンド
角打ち　東大,工学部広場B5,三好日向・佐々木大成,飲食/スイーツ
東京大学合気道気錬会五月祭演武会,七徳堂,合気道気錬会,パフォーマンス/スポーツ、武道
忠弥坂46 初披露の会,図書館前ステージ,忠弥坂46,パフォーマンス/ダンス
星野源(copy),セントラルステージ,星野源愛好会,音楽/バンド
SOS団　部室,工学部6号館,SOS団東大支部,エンタメ/展示
銀杏ノ空 2nd Unit Live!,セントラルステージ,ラブライブ！,パフォーマンス/ダンス
辺境のアウトローたち,弥生講堂,民族問題研究部,学術/講演会、発表
医学部野球部の牛串,伊藤門通りA3,鉄門野球部,飲食/軽食
